序号,原名称,英文翻译
49,231012TR-X6-6寸轮毂-2-1-solid1,231012TR-X6-6-inchWheelHub-2-1-solid1
50,231012TR-X6-轮毂电机-内径35外径44高5轴承-1-solid1,231012TR-X6-HubMotor-BearingID35OD44Height5-1-solid1
51,240224TR-全局相机外壳-1-1-solid1,240224TR-GlobalCameraHousing-1-1-solid1
52,240224TR-全局相机底板-1-1-solid1,240224TR-GlobalCameraBottomPlate-1-1-solid1
53,240224TR-全局相机旋转固定件-1-1-solid1,240224TR-GlobalCameraRotaryMountingBracket-1-1-solid1
54,240224TR-全局相机旋转固定件-4-1-solid1,240224TR-GlobalCameraRotaryMountingBracket-4-1-solid1
55,240224TR-全局相机组件-01,240224TR-GlobalCameraAssembly-01
56,240224TR-全局相机组件-02,240224TR-GlobalCameraAssembly-02
57,240224TR-全局相机组件-基座,240224TR-GlobalCameraAssembly-Base
58,240224外径44-内径35轴承-1-solid1,240224BearingOD44-ID35-1-solid1
59,240224束线盖-1-1-solid1,240224CableCover-1-1-solid1
60,240224端盖-1-1-solid1,240224EndCap-1-1-solid1
61,240224端盖-1-2-solid1,240224EndCap-1-2-solid1
62,405相机固定件-1-solid1,405CameraMount-1-solid1
63,D435相机.step-1-solid3,D435Camera.step-1-solid3
64,MGN5C-滑块-3-solid1,MGN5C-Slider-3-solid1
65,MGN5C-滑块-3-solid2,MGN5C-Slider-3-solid2
66,MGN5C-滑块-3-solid3,MGN5C-Slider-3-solid3
67,MGN5C-滑块-3-solid4,MGN5C-Slider-3-solid4
68,MGN5C-滑块-3-solid5,MGN5C-Slider-3-solid5
69,MGN5C-滑块-3-solid6,MGN5C-Slider-3-solid6
70,MGN5C-滑块-4-solid1,MGN5C-Slider-4-solid1
71,MGN5C-滑块-4-solid2,MGN5C-Slider-4-solid2
72,MGN5C-滑块-4-solid3,MGN5C-Slider-4-solid3
73,MGN5C-滑块-4-solid4,MGN5C-Slider-4-solid4
74,MGN5C-滑块-4-solid5,MGN5C-Slider-4-solid5
75,MGN5C-滑块-4-solid6,MGN5C-Slider-4-solid6
76,MGN5导轨-1-solid1,MGN5GuideRail-1-solid1
77,MGN5导轨-2-solid1,MGN5GuideRail-2-solid1
78,TR-11-4010集成关节0527-1-solid2,TR-11-4010-IntegratedJoint-0527-1-solid2
79,TR-11-4010集成关节0527-1-solid4,TR-11-4010-IntegratedJoint-0527-1-solid4
80,TR-11-4010集成关节0527-1-solid5,TR-11-4010-IntegratedJoint-0527-1-solid5
81,TR-11-4010集成关节0527-2-solid1,TR-11-4010-IntegratedJoint-0527-2-solid1
82,TR-11-4010集成关节0527-2-solid2,TR-11-4010-IntegratedJoint-0527-2-solid2
83,TR-11-4010集成关节0527-2-solid3,TR-11-4010-IntegratedJoint-0527-2-solid3
84,TR-11-4010集成关节0527-2-solid4,TR-11-4010-IntegratedJoint-0527-2-solid4
85,TR-11-4010集成关节0527-2-solid5,TR-11-4010-IntegratedJoint-0527-2-solid5
86,TR-11-4010集成关节0527-3-solid2,TR-11-4010-IntegratedJoint-0527-3-solid2
87,TR-11-4010集成关节0527-3-solid5,TR-11-4010-IntegratedJoint-0527-3-solid5
88,TR-14-5010集成关节-0527-1-solid1,TR-14-5010-IntegratedJoint-0527-1-solid1
89,TR-14-5010集成关节-0527-1-solid21,TR-14-5010-IntegratedJoint-0527-1-solid21
90,TR-14-5010集成关节-0527-1-solid4,TR-14-5010-IntegratedJoint-0527-1-solid4
91,TR-14-5010集成关节-0527-1-solid5,TR-14-5010-IntegratedJoint-0527-1-solid5
92,TR-14-5010集成关节-0527-3-solid11,TR-14-5010-IntegratedJoint-0527-3-solid11
93,TR-14-5010集成关节-0527-3-solid5,TR-14-5010-IntegratedJoint-0527-3-solid5
94,TR-17-5015-集成关节-0527-1-solid35,TR-17-5015-IntegratedJoint-0527-1-solid35
95,TR-七轴单臂装配体-0305-双臂用右-1,TR-7-AxisSingleArmAssembly-0305-ForDualArmRight-1
96,TR-七轴单臂装配体-0305-双臂用左-1,TR-7-AxisSingleArmAssembly-0305-ForDualArmLeft-1
97,TR-全局相机-0305,TR-GlobalCamera-0305
98,TR-双臂全向移动复合机器人-01,TR-Dual-ArmOmnidirectionalMobileCompositeRobot-01
99,TR-双臂全向移动复合机器人-02,TR-Dual-ArmOmnidirectionalMobileCompositeRobot-02
100,TR-双臂全向移动复合机器人-03,TR-Dual-ArmOmnidirectionalMobileCompositeRobot-03
101,TR-双臂全向移动复合机器人-04,TR-Dual-ArmOmnidirectionalMobileCompositeRobot-04
102,TR-双臂全向移动复合机器人-05,TR-Dual-ArmOmnidirectionalMobileCompositeRobot-05
103,TR-双臂全向移动复合机器人-06,TR-Dual-ArmOmnidirectionalMobileCompositeRobot-06
104,TR-双臂全向移动复合机器人-07,TR-Dual-ArmOmnidirectionalMobileCompositeRobot-07
105,TR-夹具-0305,TR-Fixture-0305
106,TR-夹具基座-1,TR-FixtureBase-1
107,TR-夹具夹指-1,TR-FixtureFinger-1
108,TR-标准法兰模块-电器链接件-1/夹具-电器链接板-1-1-solid1,TR-StandardFlangeModule-ElectricalConnector-1/Fixture-ElectricalLinkPlate-1-1-solid1
109,TR-标准法兰模块-电器链接件-1/夹具-电器链接板-2-1-solid1,TR-StandardFlangeModule-ElectricalConnector-1/Fixture-ElectricalLinkPlate-2-1-solid1
110,TR-标准法兰模块-电器链接件-1/夹具-电器链接板-3-1-solid1,TR-StandardFlangeModule-ElectricalConnector-1/Fixture-ElectricalLinkPlate-3-1-solid1
111,TR-电路板-1016-1-solid1,TR-CircuitBoard-1016-1-solid1
112,一体化关节-1223-TR-双臂一轴端盖-1-2-solid1,IntegratedJoint-1223-TR-Dual-ArmAxis1EndCap-1-2-solid1
113,一体化关节-1223-TR-双臂托板-1-1-solid1,IntegratedJoint-1223-TR-Dual-ArmSupportPlate-1-1-solid1
114,一体化关节-1223-TR-双臂托板-3-1-solid1,IntegratedJoint-1223-TR-Dual-ArmSupportPlate-3-1-solid1
115,一体化关节-1223-TR-双臂肩部-1-1-solid1,IntegratedJoint-1223-TR-Dual-ArmShoulder-1-1-solid1
116,一体化关节-1223-TR-双臂肩部-1-2-solid1,IntegratedJoint-1223-TR-Dual-ArmShoulder-1-2-solid1
117,一体化关节-1223-TR-巡检-底座-1-1-solid1,IntegratedJoint-1223-TR-Inspection-Base-1-1-solid1
118,一体化关节-1223-转接板-1-1-solid1,IntegratedJoint-1223-AdapterPlate-1-1-solid1
119,一体轴承版-2-1-2-修改件-1-solid1,IntegratedBearingVersion-2-1-2-ModifiedPart-1-solid1
120,一体轴承版-3-1-1-1-1-solid1,IntegratedBearingVersion-3-1-1-1-1-solid1
121,一体轴承版-3-1-10-2-solid1,IntegratedBearingVersion-3-1-10-2-solid1
122,一体轴承版-3-1-10-右-1-solid1,IntegratedBearingVersion-3-1-10-Right-1-solid1
123,一体轴承版-3-1-10-右盖-1-solid1,IntegratedBearingVersion-3-1-10-RightCover-1-solid1
124,一体轴承版-3-1-10-左盖-1-solid1,IntegratedBearingVersion-3-1-10-LeftCover-1-solid1
125,一体轴承版-3-1-10链接件-1-solid1,IntegratedBearingVersion-3-1-10-Connector-1-solid1
126,一体轴承版-3-1-2-复合整机用-3-solid1,IntegratedBearingVersion-3-1-2-ForCompositeWholeMachine-3-solid1
127,一体轴承版-3-1-2-复合整机用-左-1-solid1,IntegratedBearingVersion-3-1-2-ForCompositeWholeMachine-Left-1-solid1
128,一体轴承版-3-1-2-复合整机用-盖-1-solid1,IntegratedBearingVersion-3-1-2-ForCompositeWholeMachine-Cover-1-solid1
129,一体轴承版-3-1-2-复合整机用-盖-3-solid1,IntegratedBearingVersion-3-1-2-ForCompositeWholeMachine-Cover-3-solid1
130,一体轴承版-3轴管壁-1-solid1,IntegratedBearingVersion-3-AxisTubeWall-1-solid1
131,一体轴承版-45关节过度件-1-1-solid1,IntegratedBearingVersion-45JointTransitionPiece-1-1-solid1
132,一体轴承版-5轴管壁-X-1-solid1,IntegratedBearingVersion-5-AxisTubeWall-X-1-solid1
133,一体轴承版-TR-5-1-X-七轴-1-solid1,IntegratedBearingVersion-TR-5-1-X-7-Axis-1-solid1
134,一体轴承版-TR-5-1-X-左右端盖-1-solid1,IntegratedBearingVersion-TR-5-1-X-Left/RightEndCap-1-solid1
135,一体轴承版-TR-5-1-X-左右端盖-2-solid1,IntegratedBearingVersion-TR-5-1-X-Left/RightEndCap-2-solid1
136,一体轴承版-TR-5轴轴承端盖-1015-1-solid1,IntegratedBearingVersion-TR-5-AxisBearingEndCap-1015-1-solid1
137,一体轴承版-TR-67-1014-1-solid1,IntegratedBearingVersion-TR-67-1014-1-solid1
138,一体轴承版-七轴单臂-1,IntegratedBearingVersion-7-AxisSingleArm-1
139,一体轴承版-七轴单臂-2,IntegratedBearingVersion-7-AxisSingleArm-2
140,一体轴承版-七轴单臂-3,IntegratedBearingVersion-7-AxisSingleArm-3
141,一体轴承版-七轴单臂-4,IntegratedBearingVersion-7-AxisSingleArm-4
142,一体轴承版-七轴单臂-5,IntegratedBearingVersion-7-AxisSingleArm-5
143,一体轴承版-七轴单臂-6,IntegratedBearingVersion-7-AxisSingleArm-6
144,一体轴承版-七轴单臂-7,IntegratedBearingVersion-7-AxisSingleArm-7
145,一体轴承版-后盖-1015-1-solid1,IntegratedBearingVersion-RearCover-1015-1-solid1
146,一体轴承版-外径44内径35轴承-1-2-solid1,IntegratedBearingVersion-BearingOD44ID35-1-2-solid1
147,一体轴承版-外径55内径45高6轴承-1-solid1,IntegratedBearingVersion-BearingOD55ID45Height6-1-solid1
148,一体轴承版-威浦WEIPU SF610+SF612-连接器-4-solid1,IntegratedBearingVersion-WEIPUSF610+SF612-Connector-4-solid1
149,一体轴承版-覆盖件-X-1-solid1,IntegratedBearingVersion-Cover-X-1-solid1
150,一体轴承版-覆盖件-X-2-solid1,IntegratedBearingVersion-Cover-X-2-solid1
151,一体轴承版-零件8-2-1-solid1,IntegratedBearingVersion-Part8-2-1-solid1
152,一体轴承版-零件8-2-2-solid1,IntegratedBearingVersion-Part8-2-2-solid1
153,任何,Any
154,内径30外径37厚度4轴承-1-solid1,BearingID30OD37Thickness4-1-solid1
155,内径30外径37厚度4轴承-2-solid1,BearingID30OD37Thickness4-2-solid1
156,凸台-拉伸1,Boss-Extrude1
157,切除-拉伸1,Cut-Extrude1
158,切除-拉伸2,Cut-Extrude2
159,同步轮-1014-1-1-solid1,TimingPulley-1014-1-1-solid1
160,同步轮-1014-2-1-solid1,TimingPulley-1014-2-1-solid1
161,圆角2,Fillet2
162,未知,Unknown
163,比赛手抓夹具,CompetitionHandGripperFixture
164,直接2mm橡胶塞-1-10-solid1,Direct2mmRubberPlug-1-10-solid1
165,直接2mm橡胶塞-1-11-solid1,Direct2mmRubberPlug-1-11-solid1
166,直接2mm橡胶塞-1-2-solid1,Direct2mmRubberPlug-1-2-solid1
167,直接2mm橡胶塞-1-5-solid1,Direct2mmRubberPlug-1-5-solid1
168,直接2mm橡胶塞-1-6-solid1,Direct2mmRubberPlug-1-6-solid1
169,直接2mm橡胶塞-1-7-solid1,Direct2mmRubberPlug-1-7-solid1
170,直接2mm橡胶塞-1-8-solid1,Direct2mmRubberPlug-1-8-solid1
171,直接2mm橡胶塞-1-9-solid1,Direct2mmRubberPlug-1-9-solid1
172,（标准-外发模型）TR-双臂全向移动复合机器人-0305,(Standard-ExternalModel)TR-Dual-ArmOmnidirectionalMobileCompositeRobot-0305
173,（标准-外发模型）TR-双臂全向移动复合机器人-0305.STEP,(Standard-ExternalModel)TR-Dual-ArmOmnidirectionalMobileCompositeRobot-0305.STEP
